elapsed_sec,rss_kb,events_total,events_per_sec
59,4060,19047,317.45
119,4060,38161,318.57
179,4060,57272,318.52
239,4060,76318,317.43
299,4316,93929,293.52
359,4316,111672,295.72
420,4316,130106,307.23
480,4316,149221,318.58
540,4572,167035,296.90
600,4956,185262,303.78
660,4956,204036,312.90
720,4956,223221,319.75
780,5084,242202,316.35
840,5340,260838,310.60
900,5468,279676,313.97
960,5468,298111,307.25
1020,5724,316334,303.72
1080,5852,334972,310.63
1140,5980,353129,302.62
1200,6108,371286,302.62
1260,6236,389238,299.20
1320,6364,408080,314.03
1380,6620,426304,303.73
1440,6748,445076,312.87
1500,6748,463233,302.62
1560,6876,483515,338.03
1620,7132,502633,318.63
1680,7260,520174,292.35
1740,7516,538679,308.42
1800,7516,557188,308.48
1860,7516,575545,305.95
1920,7516,593977,307.20
1980,7772,613229,320.87
2040,7900,631109,298.00
2100,8156,649475,306.10
2160,8284,667154,294.65
2220,8412,686478,322.07
2280,8540,704563,301.42
2340,8668,722444,298.02
2400,8796,740329,298.08
2460,8924,758763,307.23
2520,8924,777051,304.80
2580,9052,795959,315.13
2640,9180,814529,309.50
2700,9564,833090,309.35
2761,9692,852071,316.35
2821,9948,870916,314.08
2881,9948,889209,304.88
2941,9948,906811,293.37
3001,10076,925519,311.80
3061,10332,943056,292.28
3121,10460,961146,301.50
3181,10460,980326,319.67
3241,10460,999241,315.25
3301,10460,1017464,303.72
3361,10460,1035828,306.07
3421,10460,1054191,306.05
3481,10460,1073167,316.27
3541,10460,1092555,323.13
3601,10460,1111054,308.32
